post_id,author_name,text,likes,comments,views,eng_score
3366197301909260316,dimaspopo_,"ASMR Honda Supercub 110 2024â€¦ Motor Japan Domestic Market (JDM) ini masuk Indonesia via @motorsafari, gak banyak, wajar kalau jadi rebutan. 
-------------------------
Oiya sebelumnya jangan lupa follow lagi akun @dimaspopo_ ğŸ˜. Akun IG lama yang udah difollow oleh 38K temen2, HILANG ğŸ˜­ğŸ˜­ğŸ˜­.
-------------------------
Bodinya cakep ya mirip Honda C70 tapi lebih modern. Rangkanya bukan monokok lagi, jadi itu bodi plastik membungkus rangka tubular. Mesin bebek 109 cc speknya lebih baru dari mesin Honda Revo. Langkah piston 63 mm, ada filter olinya, udah injeksi, transmisi 4 speed rotari. Power cuma 7,9 hp aja, konsumsi bbm diklaim bisa sampai 68 km/liter. Oiya pelek casting wheels, bannya tubeless, rem depan cakram sudah ABS.

Saya membayangkannya motor ini cocok jadi Honda C70 reborn, atau jadi Scoopy versi bebek hehe. Tapi sayang ya, segmen bebek di Indonesia udah gak ramai, market share bebek dari total penjualan motor di Indonesia paling tinggal 8% aja. Kecil kemungkinan Honda jualan si bebek retro ini di Indonesia. 

#honda #hondasupercub #hondasupercub110 #supercub #bebekhonda #motorbebek #supercub125 #supercub110 #cub #c70 #hondac70 #hondac70indonesia #astrea #astreagrand #astrea800 #astreaprima #astreaindonesia #hondaastrea #hondastreamindonesia #bebekjadul",153507,1167,0,154674
3270922234716742272,civicx.rs,"CivicX SetupğŸ”¥â¤ï¸ 
#hondaculture #spoonsports #hondaciviceg #ekhatch #hondalife #hondafest #honda_scene #hondacivicsi #honda_territory #hondalover #hondalove #hondalovers #jdmcars #jdmlifestyle #jdmsociety #jdmnation #jdmstance #jdmlife #hondacivictyper #jdmclassic #hondasi #hondatuning #vtec_society #vtecclub #vtecsociety #vtecnation #cleaneating #proxes #acuityinstruments #acuity",66431,159,0,66590
3379686906471037700,sportbikerss,"O friozinho na barriga KKKKKKKKK 

#z800 #xj6 #hornet #kawasaki #honda #zx10r #yamaha #z1000 #cbr1000rr #s1000rr #mt09 #agv #suzuki #mt07 #moto #cb1000r #loucospormotos #ducati #grau #bmws1000rr #r6 #cb500 #r1 #cb300 #repsol #mvagusta #ninja300 #lokopormoto #hondamotosbr #cbr",51583,84,0,51667
3677034784622951180,charlotte.blesse,"Same moves, different day and every time, a new road ğŸ•ï¸ğŸï¸
This is how every day begins
@ristorimotos always by my side 

Â«Â EnchantÃ©, moi câ€™est AnnickÂ Â»

â¸»

#morningroutine #ontheroadagain #northbound #adventureprep #solotravel #womanwhoride #womantraveler #motorbikelife #freedommachine #packandgo #hondamotorcycle #cb500x #pov",39768,569,0,40337
3692792760626641376,motocasal_cavernista,"Para a vida ğŸ˜‡

PARCEIROS DE ESTRADAâ¬‡ï¸

@helt.capacetes
@kendabrasil
@braz.acessorios
@motorshopp.official
@acerobotas
@routeacessorios
@cristianomotopecasafc

#casaismotociclistas #paixaopormotos #duasrodas #moto #mochilinha #cb500x #motorcycle #AceroBotas #brazacessorios #motorshopp #kenda #heltcapacetes #heltlovers",37326,290,0,37616
3292402627564441637,simo____biker_1,"#yamahaâ™¥ï¸ 
#honda #hondacivic #hondalife #hondanation #hondalove #hondajazz #hondaaccord #hondaracing #hondacrv #hondacbr #hondabrio #hondaday #hondatuning #hondafit #hondacity #hondacb #hondadbljogjaseries2018 #hondamotorcycles #hondaloyalty #hondaisme #hondahrv #hondas2000 #hondaindonesia #hondamobilio #hondadbljogja2018 #hondata",33706,36,0,33742
1746082337127146683,honda,"Introducing Honda Sixth Sense, a revolutionary new way to stay alert as you travel from the road to the sidewalk.",32930,651,0,33581
2878023562541765020,sobigtrail,"Bora de helicÃ³ptero 

#africatwin #crf1000l #hondaafricatwin #travel #motorbike #africatwinadventuresports #mototravel #hondacrf #dakar #travelphotography #mototraveler #passion #mototurismo #mototube #mototraveller #adv #enduro #advrider #crf1000lafricatwin #dualsport #africatwinadventures #trail #motorrad",31965,104,0,32069
3593700000385431685,denatresna,"Hallo Honda Lovers, Honda Ahmad Yani Bandung Sekarang sudah hadir di soreang, bagi yang berada di wilayah Soreang, Banjaran, Ciwidey dan sekitarnya sekarang ga usah jauh2 lagi buat service mobil honda nya, sekarang telah di buka Honda Perdana Soreang yg beralamat di Jl.Raya Soreang KM 13,5 No 1 Bandung.

Jam Operasional Honda Perdana Soreang :
Bengkel :
Senin - Kamis Jam 08.00 s/d 16.00 (Sabtu s/d 14.00)
Showroom :
Senin - Minggu Jam 08.00 s/d 16.00

#honda #hondalovers #hondaisme #hondabrio #dealerhonda #hondabandung",31883,15,0,31898
3692886592514698481,honda20083,#Ø¢Ú©Ø³Ù¾Ù„ÙˆØ± #200likes #honda #Ù‡Ù†Ø¯Ø§ #hondadbljogjaseries2018 #motorcycle #speed #power #engine #Ù…ÙˆØªÙˆØ±Ø¨Ø§Ø² #Ú†Ø§Ù„ #Ø£Ù…Ù„ #Ù…Ø¢Ø²Ù†Ø¯Ø±Ø§Ù† #Ø¹Ø´Ù‚Ù #Ù…ÙˆØªÙˆØ±Ø¨Ø§Ø² #Ú†Ø§Ù„Ø´ #Ø¬Ø¯ÛŒØ¯ØªØ±ÛŒÙ†Ù‡Ø§ #ÛŒÙˆØªÙˆØ¨_ÙØ§Ø±Ø³ÛŒ #ÛŒÙˆØªÛŒÙˆØ¨ #Ú©Ù„ÛŒ #Ú©Ù„ÛŒÙ¾Ø³,30296,0,0,30296
